DIA;COMPRA;VENTA;;
4 Jun 1984;43.50;44.00;;
5 Jun 1984;43.50;44.00;;
6 Jun 1984;43.50;44.00;;
7 Jun 1984;43.50;44.00;;
8 Jun 1984;43.50;44.00;;
9 Jun 1984;43.50;44.00;;
10 Jun 1984;43.50;44.00;;
11 Jun 1984;43.50;44.00;;
12 Jun 1984;43.50;44.00;;
13 Jun 1984;43.50;44.00;;
14 Jun 1984;43.50;44.00;;
15 Jun 1984;43.50;44.00;;
16 Jun 1984;43.50;44.00;;
17 Jun 1984;43.50;44.00;;
18 Jun 1984;43.50;44.00;;
19 Jun 1984;43.50;44.00;;
20 Jun 1984;43.50;44.00;;
21 Jun 1984;43.50;44.00;;
22 Jun 1984;43.50;44.00;;
23 Jun 1984;43.50;44.00;;
24 Jun 1984;43.50;44.00;;
25 Jun 1984;43.50;44.00;;
26 Jun 1984;43.50;44.00;;
27 Jun 1984;43.50;44.00;;
28 Jun 1984;43.50;44.00;;
29 Jun 1984;43.75;44.25;;
30 Jun 1984;43.75;44.25;;
1 Jul 1984;43.75;44.25;;
2 Jul 1984;43.75;44.25;;
3 Jul 1984;43.75;44.25;;
4 Jul 1984;43.75;44.25;;
5 Jul 1984;43.75;44.25;;
6 Jul 1984;43.75;44.25;;
7 Jul 1984;43.75;44.25;;
8 Jul 1984;43.75;44.25;;
9 Jul 1984;43.75;44.25;;
10 Jul 1984;43.75;44.25;;
11 Jul 1984;43.75;44.25;;
12 Jul 1984;43.75;44.25;;
13 Jul 1984;43.75;44.25;;
14 Jul 1984;43.75;44.25;;
15 Jul 1984;43.75;44.25;;
16 Jul 1984;43.75;44.25;;
17 Jul 1984;43.75;44.25;;
18 Jul 1984;43.75;44.25;;
19 Jul 1984;43.75;44.25;;
20 Jul 1984;43.75;44.25;;
21 Jul 1984;43.75;44.25;;
22 Jul 1984;43.75;44.25;;
23 Jul 1984;43.75;44.25;;
24 Jul 1984;43.75;44.25;;
25 Jul 1984;43.75;44.25;;
26 Jul 1984;43.75;44.25;;
27 Jul 1984;43.75;44.25;;
28 Jul 1984;43.75;44.25;;
29 Jul 1984;43.75;44.25;;
30 Jul 1984;43.75;44.25;;
31 Jul 1984;43.75;44.25;;
1 Ago 1984;43.75;44.25;;
2 Ago 1984;43.75;44.25;;
3 Ago 1984;43.75;44.25;;
4 Ago 1984;43.75;44.25;;
5 Ago 1984;43.75;44.25;;
6 Ago 1984;43.75;44.25;;
7 Ago 1984;43.75;44.25;;
8 Ago 1984;43.75;44.25;;
9 Ago 1984;43.75;44.25;;
10 Ago 1984;43.75;44.25;;
11 Ago 1984;43.75;44.25;;
12 Ago 1984;43.75;44.25;;
13 Ago 1984;43.75;44.25;;
14 Ago 1984;43.75;44.25;;
15 Ago 1984;43.75;44.25;;
16 Ago 1984;43.75;44.25;;
17 Ago 1984;43.75;44.25;;
